"ID","ARMS18","ARMS20","ARMS17"
"ASV1000",0,16,0
"ASV1007",2,9,4
"ASV1047",0,3,4
"ASV1078",4,1,0
"ASV11",0,9577,4
"ASV1135",3,0,0
"ASV117",656,324,50
"ASV1171",1,0,5
"ASV1194",0,5,0
"ASV12",2274,4571,1666
"ASV1202",1,2,2
"ASV1212",1,0,9
"ASV1227",4,0,2
"ASV123",339,9,763
"ASV1382",1,1,0
"ASV140",94,916,242
"ASV145",134,16,561
"ASV15",2984,45,4947
"ASV150",5,45,702
"ASV175",532,4,3
"ASV196",352,133,162
"ASV21",4144,3,0
"ASV215",152,20,137
"ASV241",1,227,80
"ASV243",0,277,0
"ASV246",0,297,0
"ASV253",19,2,269
"ASV260",12,397,5
"ASV261",89,98,33
"ASV262",172,10,25
"ASV273",8,255,68
"ASV288",192,2,0
"ASV297",0,210,0
"ASV306",37,36,177
"ASV310",11,165,8
"ASV318",136,2,0
"ASV329",87,17,0
"ASV331",64,19,1
"ASV34",12,34,4670
"ASV379",115,3,0
"ASV40",627,336,3923
"ASV43",26,1479,2485
"ASV445",1,102,10
"ASV46",29,0,2908
"ASV478",63,2,13
"ASV485",119,2,0
"ASV49",1885,166,0
"ASV495",0,92,0
"ASV496",3,93,0
"ASV51",2571,82,1407
"ASV516",0,0,84
"ASV527",0,67,0
"ASV536",74,0,0
"ASV537",0,65,0
"ASV54",1195,141,423
"ASV555",24,19,15
"ASV564",56,0,0
"ASV568",20,17,21
"ASV57",895,8,977
"ASV578",18,3,4
"ASV601",0,34,0
"ASV61",1453,36,1
"ASV613",53,0,0
"ASV615",4,34,9
"ASV648",0,12,16
"ASV680",12,22,0
"ASV682",15,15,14
"ASV683",10,8,20
"ASV713",1,11,8
"ASV744",8,0,14
"ASV753",3,29,0
"ASV755",8,7,14
"ASV76",1174,10,37
"ASV810",0,28,0
"ASV818",14,5,0
"ASV843",9,8,0
"ASV853",11,6,0
"ASV859",1,14,7
"ASV863",11,2,0
"ASV893",17,0,0
"ASV9",1395,8901,891
"ASV916",0,0,23
"ASV957",10,0,1
"ASV972",12,4,0
"ASV98",693,60,191
